ID,Institution,Program,Provisional Track,Route Status,Provisional Eligible,Provisional Status,Coverage,Confidence,Published Provisional Score,Published Provisional Rank,Provisional Warnings,Exclusion Reasons
23,University of Helsinki,Master's Programme in Environmental Change and Global Sustainability,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,48.1,28,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
24,Durham University,"MSc Climate Change, Environmental Processes and Sustainable Futures",taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,52.4,20,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
25,University of Leeds,"MSc Sustainability, Environment and Development",research,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.51,Insufficient,45,5,Programme route is rule-based-provisional: Official extracted evidence contains a required/substantial thesis or original research signal. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
26,Western University,Master of Environment and Sustainability,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,51.1,25,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
27,University of Glasgow,MSc Environment & Sustainable Development,research,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.51,Insufficient,57.1,1,Programme route is rule-based-provisional: Official extracted evidence contains a required/substantial thesis or original research signal. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
28,The University of Auckland,Master of Environmental Science,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,53.8,16,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
29,"Trinity College Dublin, The University of Dublin",MSc Environmental Sciences,research,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.51,Insufficient,38,9,Programme route is rule-based-provisional: Official extracted evidence contains a required/substantial thesis or original research signal. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
30,University of Pennsylvania,Master of Environmental Studies,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,55.5,11,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
52,Griffith University,Master of Global Development - Sustainable Development major,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,46.9,32,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete. | Programme Match Type is Major.,
53,Western Sydney University,"Master of Sustainable Tourism, Hospitality and Event Management",taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,44.4,33,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
54,Queen's University,Master of Environmental Studies,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,47.7,28,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
55,Universiti Sains Malaysia,Master in Sustainable Development Practice,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,44.8,33,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
56,Hanyang University,Master's majors in Global Climate and Environmental Studies,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,44.1,37,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete. | Programme Match Type is Best-fit.,
57,Hokkaido University,"Master's Program, Graduate School of Environmental Science",taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,43,38,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete. | Programme Match Type is Best-fit.,
58,Universiti Kebangsaan Malaysia,Master of Science / Master of Arts in Environment and Development,research,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,42,7,Programme route is rule-based-provisional: Program Verification Match Type is Research. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
59,Institut Agro,Master's pathway: Transitions in Environmental and Agrifood Systems Management,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,40.7,43,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete. | Programme Match Type is Best-fit.,
60,National Taiwan University (NTU),Master's Program in Biodiversity,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,53.7,16,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
61,University of Alberta,Master of Sustainability,taught,rule-based-provisional,No,Excluded - programme eligibility issue,0.3,Insufficient,,,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,University of Alberta: the retained page was manually identified as not an eligible graduate programme record. | A critical programme-eligibility warning remains open.
62,Korea University,Master's in Climatic Environment,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,49.2,27,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete. | Programme Match Type is Best-fit.,
63,Universitas Airlangga,Master of Environmental Health,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,40.5,43,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
64,Pusan National University,"Master's programs, Graduate School of Environment",taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,40.2,46,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete. | Programme Match Type is Best-fit.,
65,University of Tasmania,Master of Environmental Geospatial Science,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,44.6,33,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
66,McMaster University,No directly qualifying sustainability/environment master's confirmed,taught,rule-based-provisional,No,Excluded - programme eligibility issue,0.3,Insufficient,,,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,A qualifying current graduate programme is not confirmed. | The retained record explicitly states that no directly qualifying programme was confirmed.
67,Chulalongkorn University,"MA Environment, Development and Sustainability",taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,43,38,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
49,University of Exeter,MSc Global Sustainability Solutions,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,51.2,25,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
68,Kyungpook National University (KNU),Graduate major in Environmental and Energy Engineering,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,41.7,40,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete. | Programme Match Type is Best-fit.,
69,The Hong Kong University of Science and Technology,MSc in Environmental Engineering and Management,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,52.2,24,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
70,Lovely Professional University,MSc Environmental Sciences,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,40.3,46,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
71,University of Malaya,Master of Sustainability Science,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,47.8,28,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
72,Aalborg University,MSc Engineering in Sustainable Cities,research,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,43.3,6,Programme route is rule-based-provisional: Official extracted evidence contains a required/substantial thesis or original research signal. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
73,Kyung Hee University,Graduate pathway in Environmental Science and Engineering,taught,rule-based-provisional,No,Excluded - programme eligibility issue,0.3,Insufficient,,,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete. | Programme Match Type is Best-fit.,Kyung Hee University: the retained evidence describes an undergraduate programme. | A critical programme-eligibility warning remains open.
74,University of Victoria,MA/MSc Environmental Studies,research,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,42.5,7,Programme route is rule-based-provisional: Program Verification Match Type is Research. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
76,Central Queensland University,Master of Sustainable Development,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,40.9,43,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
77,University of Newcastle,Master of Environmental Management and Sustainability,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,44.8,33,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
78,Northumbria University,MSc Disaster Management and Sustainable Development,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,41.8,40,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
79,University of Indonesia,Master of Environmental Science,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,41.7,40,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
80,An-Najah National University,MSc Environmental Sciences,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,39.2,48,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
81,Arizona State University (Tempe),Master of Sustainability Solutions,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,47.5,31,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
